Marchandise,Famille,Sous famille,Code interne,Code libre
DELI MANGUE AUX NOIX PECAN /2021,HORS MARCHE,H-M SURGELE,,
EGRENE VEGE SEITAN BIO,HORS MARCHE,H-M SURGELE,,
EMINCE VEGETAL BIO,HORS MARCHE,H-M SURGELE,,
ENTREMET CACAO EN BANDE,HORS MARCHE,H-M SURGELE,,
ESCALOPE FOIE GRAS ROUGIE,HORS MARCHE,H-M SURGELE,,
FILET DE BAR,HORS MARCHE,H-M SURGELE,,
FILET DE CARRELET 110/140 GR,HORS MARCHE,H-M SURGELE,,
FILET DE DAURADE ROYALE,HORS MARCHE,H-M SURGELE,,
FILET DE PIGEONNEAU 50/75 GR,HORS MARCHE,H-M SURGELE,,
FILET DE RAIE 100/400 GR,HORS MARCHE,H-M SURGELE,,
FILET DE ROUGET BARBET 40/80 GR,HORS MARCHE,H-M SURGELE,,
FILET DE SANDRE 170/230GR,HORS MARCHE,H-M SURGELE,,
FILET DE SOLE TROP. 60/90 GR SURG ,HORS MARCHE,H-M SURGELE,,
FILET DE ST PIERRE 150-200GR,HORS MARCHE,H-M SURGELE,,
FISH & CHIPS COLIN D'ALASKA 100/120 GR - MSC*,HORS MARCHE,H-M SURGELE,,
FOCACCIA NATURE TRANCHEE,HORS MARCHE,H-M SURGELE,,
FOND MINI QUICHE AU BEURRE,HORS MARCHE,H-M SURGELE,,
FOND TARTELETTE CUITE SUCREE DIAM 8.1,HORS MARCHE,H-M SURGELE,,
FRAISES SURG,HORS MARCHE,H-M SURGELE,,
FRAISIER SURG 2.8 KG,HORS MARCHE,H-M SURGELE,,
FRAMBOISIER - 1/4 CADRE,HORS MARCHE,H-M SURGELE,,
FRICADELLE  DE BOEUF 125 GR *,HORS MARCHE,H-M SURGELE,,
GAMBAS 20/30 AU KG,HORS MARCHE,H-M SURGELE,,
GAMBAS GEANTES 10/20,HORS MARCHE,H-M SURGELE,,
GLACE AU YAOURT BULGARE (ARTISANALE),HORS MARCHE,H-M SURGELE,,
GLACE VANILLE BOURBON HQ,HORS MARCHE,H-M SURGELE,,
GLACE VANILLE INFUSION  CAFETERIA,HORS MARCHE,H-M SURGELE,,
GRATIN CREMEUX AUX DEUX CAROTTES ET BROCOLIS,HORS MARCHE,H-M SURGELE,,
IMPERIALE EXOTIQUE,HORS MARCHE,H-M SURGELE,,
JOUE DE LOTTE (SURG),HORS MARCHE,H-M SURGELE,,
LAMELLES D'ENCORNET,HORS MARCHE,H-M SURGELE,,
LANGOUSTINES 10/15 SURGELEES,HORS MARCHE,H-M SURGELE,,
LE SY'TRON,HORS MARCHE,H-M SURGELE,,
LOBBE DE FOIE GRAS FRANCAIS ÉVEINÉ SURG,HORS MARCHE,H-M SURGELE,,
MACEDOINE DE LEGUMES  CUITE SURG.,HORS MARCHE,H-M SURGELE,,
MINI CLAFOUTIS CERISE GRIOTTE,HORS MARCHE,H-M SURGELE,,
MINI DOUCEURS EN VERRINE,HORS MARCHE,H-M SURGELE,,
MINI FOND CARRE CUIT A GARNIR,HORS MARCHE,H-M SURGELE,,
MINI FOND COQUILLE SEPIA,HORS MARCHE,H-M SURGELE,,
MINI LINGOT PAIN EPICES PRALINE,HORS MARCHE,H-M SURGELE,,
MINI QUENELLES NATURE 5 G SURG,HORS MARCHE,H-M SURGELE,,
MINI ROTI CHAPON MARINE,HORS MARCHE,H-M SURGELE,,
MORILLES ENTIERES SURG,HORS MARCHE,H-M SURGELE,,
NOIX DE SAINT JACQUES 120/150,HORS MARCHE,H-M SURGELE,,
NOIX DE SAINT JACQUES SS CORAIL 20/30,HORS MARCHE,H-M SURGELE,,
NOIX DE ST JACQUES 10/20,HORS MARCHE,H-M SURGELE,,
NOIX ST JACQUES S/CORAIL 20/25 ,HORS MARCHE,H-M SURGELE,,
NUGGETS,HORS MARCHE,H-M SURGELE,,
OMELETTE AUX HERBES,HORS MARCHE,H-M SURGELE,,
PAIN BRIOCHE SESAME,HORS MARCHE,H-M SURGELE,,
PAIN NORDIQUE (PAIN SUEDOIS) SURG,HORS MARCHE,H-M SURGELE,,
PAIN SUEDOIS CAP NORD 55 G,HORS MARCHE,H-M SURGELE,,
PAIN SURPRISE 5 VARIETES 20GR,HORS MARCHE,H-M SURGELE,,
PAIN SURPRISE VEGETARIEN 5 VARIÉTÉS,HORS MARCHE,H-M SURGELE,,
PANAIS CUBE SURG,HORS MARCHE,H-M SURGELE,,
PANISMILE KÉBAB,HORS MARCHE,H-M SURGELE,,
PANISMILE TOMATE-MOZZARELLA,HORS MARCHE,H-M SURGELE,,
PARMENTIER DE CANARD SURG,HORS MARCHE,H-M SURGELE,,
PAUPIETTE DE VOLAILLE 140 GR***,HORS MARCHE,H-M SURGELE,,
PAVE DE BAR EN ECAILLE,HORS MARCHE,H-M SURGELE,,
PAVE DE SANDRE S/S ARETE,HORS MARCHE,H-M SURGELE,,
PETIT PAIN BIO PRECUIT S/SOLE 50 GR,HORS MARCHE,H-M SURGELE,,
PLAQUE PAIN DE MIE 40X30 NATURE,HORS MARCHE,H-M SURGELE,,
PLATEAU MINI BURGER VBF 15GR,HORS MARCHE,H-M SURGELE,,
POELEE HIVERNALE /NOEL 2024,HORS MARCHE,H-M SURGELE,,
POIVRONS LANIERES,HORS MARCHE,H-M SURGELE,,
POMM' STEAK SURG 10X20,HORS MARCHE,H-M SURGELE,,
POTIRON CUBE,HORS MARCHE,H-M SURGELE,,
"POULPE ENTIER 800/1,2 KG",HORS MARCHE,H-M SURGELE,,
PRALINE/CHANTILLY/VANILLE EN BANDE,HORS MARCHE,H-M SURGELE,,
PUREE DE VITELOTTE,HORS MARCHE,H-M SURGELE,,
RAVIOLE DE FOIE DE GRAS,HORS MARCHE,H-M SURGELE,,
ROTI DE CHAPON  FARCI CUIT,HORS MARCHE,H-M SURGELE,,
ROTI DE CHAPON CUIT,HORS MARCHE,H-M SURGELE,,
SAMOUSSA A LA VOLAILLE,HORS MARCHE,H-M SURGELE,,
SAMOUSSA AU CREVETTE,HORS MARCHE,H-M SURGELE,,
SAMOUSSA AU PORC,HORS MARCHE,H-M SURGELE,,
SAUTE DE CERF SURG,HORS MARCHE,H-M SURGELE,,
SCINTILLANT CHOCOLAT CARAMEL SURG,HORS MARCHE,H-M SURGELE,,
SORBET POIRE WILLIAM (ARTISANALE),HORS MARCHE,H-M SURGELE,,
STEAK BLE OIGNONS,HORS MARCHE,H-M SURGELE,,
SUPREME DE POULET NOIR FR - SURG,HORS MARCHE,H-M SURGELE,,
TARTE AU SUCRE,HORS MARCHE,H-M SURGELE,,
TARTE CHOCOLAT SURG***,HORS MARCHE,H-M SURGELE,,
TARTE NOIX DE COCO*,HORS MARCHE,H-M SURGELE,,
TARTE PRALINE,HORS MARCHE,H-M SURGELE,,
TOURBILLON CHOCOLAT PRALINE /NOEL2024,HORS MARCHE,H-M SURGELE,,
TOURBILLON FRUIT ROUGE,HORS MARCHE,H-M SURGELE,,
TOURBILLON POIRE CARAMEL,HORS MARCHE,H-M SURGELE,,
GERVAIS A BOIRE VANILLE 100 GR,HORS MARCHE,H-M YAOURT ET DESSERT,,
YAOURT NATURE BRASSE BIO FERMIER,HORS MARCHE,H-M YAOURT ET DESSERT,,
COMPOTEE POMME-ABRICOT,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
COMPOTEE POMME-ANANAS,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
COMPOTEE POMME-CITRON,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
COMPOTEE POMME-VANILLE,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
JUS ANANAS MELON,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
JUS MANGUE PASSION CHIA,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
JUS POIRE FRUITS ROUGE,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
JUS POMME MENTHE,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
MANGAJO ACAI THE VERT,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
MANGAJO GOJI THE VERT,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
MANGAJO GRENADE THE VERT,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
MANGAJO YUZU CITRON,HORS MARCHE,HORS MARCHE FRIGO CONNECT,,
AIL ,HORS MARCHE,HORS MARCHE SALON,,
BETTERAVE ROUGE CUITE EPLUCHEE,HORS MARCHE,HORS MARCHE SALON,,
BURRATA 50 GR X 4,HORS MARCHE,HORS MARCHE SALON,,
CAROTTE JAUNE,HORS MARCHE,HORS MARCHE SALON,,
CAROTTES HVE,HORS MARCHE,HORS MARCHE SALON,,
CAROTTES JAUNES,HORS MARCHE,HORS MARCHE SALON,,
ECHALOTTE,HORS MARCHE,HORS MARCHE SALON,,
FENOUIL FRAIS HVE,HORS MARCHE,HORS MARCHE SALON,,
HARICOTS VERTS FINS EBOUTTES,HORS MARCHE,HORS MARCHE SALON,,
OIGNONS PAILLE,HORS MARCHE,HORS MARCHE SALON,,
PANAIS HVE,HORS MARCHE,HORS MARCHE SALON,,
PATATE DOUCE HVE,HORS MARCHE,HORS MARCHE SALON,,
PDT CHAIR FERME ALLIANS,HORS MARCHE,HORS MARCHE SALON,,
PERSIL PLAT - BOTTE,HORS MARCHE,HORS MARCHE SALON,,
PIMENT OISEAU,HORS MARCHE,HORS MARCHE SALON,,
POIREAUX HVE,HORS MARCHE,HORS MARCHE SALON,,
POMMES DU MOMENT,HORS MARCHE,HORS MARCHE SALON,,
ROSACE VANILLE EXOTIQUE,HORS MARCHE,HORS MARCHE SALON,,
BOULETTES  A L 'AGNEAU HACHE 30 GR SURG ,LOT 01 VIANDE SURGELEES,AGNEAU SURG,,
SAUTE D'AGNEAU EPAULE S/0S (60/90 GR) */,LOT 01 VIANDE SURGELEES,AGNEAU SURG,,
BOUL'BOEUF VF 30 GR SURG ,LOT 01 VIANDE SURGELEES,BOEUF/VEAU SURG,,
CARPACCIO DE BOEUF SURG,LOT 01 VIANDE SURGELEES,BOEUF/VEAU SURG,,
FRICADELLES BOEUF 100 GRS ,LOT 01 VIANDE SURGELEES,BOEUF/VEAU SURG,,
HACHE TRADITION EGRENE VBF SURG ,LOT 01 VIANDE SURGELEES,BOEUF/VEAU SURG,,
PAUPIETTE DE VEAU 140 GR S/PORC SURG ,LOT 01 VIANDE SURGELEES,BOEUF/VEAU SURG,,
RISSOLETTE DE VEAU PANEE 120 GR,LOT 01 VIANDE SURGELEES,BOEUF/VEAU SURG,,
SAUTE DE BOEUF SURGELE BBC 60/80GR,LOT 01 VIANDE SURGELEES,BOEUF/VEAU SURG,,
STEAK HACHE 120 GR  VBF 15%,LOT 01 VIANDE SURGELEES,BOEUF/VEAU SURG,,
STEAK HACHE 125 GR FACON BOUCHERE VBF 15%,LOT 01 VIANDE SURGELEES,BOEUF/VEAU SURG,,
JOUE DE PORC CUITE 50/70 GR,LOT 01 VIANDE SURGELEES,PORC SURG,,
PETIT SALE CUIT 140/180GR,LOT 01 VIANDE SURGELEES,PORC SURG,,
SAUTE DE PORC EPAULE SAUMURE 50/80 GR- BBC,LOT 01 VIANDE SURGELEES,PORC SURG,,
TRAVERS DE PORC 140 GR,LOT 01 VIANDE SURGELEES,PORC SURG,,
BROCHETTE DINDE COLORADO 120/140,LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
BROCHETTE DINDE ORIENTALE 130/140 GR,LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
COQUELET BLANC */ (500/600 GR),LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
CORDON BLEU DE POULET CUIT 125 GR - SURG.,LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
CUISSE DE CANARD DE BARBARIE (280/360 GR),LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
CUISSE DE CANETTE 170/220 GR SURG,LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
CUISSE DE POULE CONFITE 200 GR,LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
DECOUPE DE COQ 180/230 GR,LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
ESCALOPE DE DINDE PLEIN FILET VIENNOISE,LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
PAUPIETTE DE LAPIN 125GR,LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
PAUPIETTE DE VOLAILLE 140GR,LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
SAUTE DE LAPINS SURG ( 40/90 GR),LOT 01 VIANDE SURGELEES,VOLAILLE/LAPIN SURG,,
CREVETTE GE.TIG.SEMI DEC.SURG ,LOT 02 POISSONS SURGELÉS,CRUSTACES/MOLLUSQUES,,
CREVETTE NORDIQUE ENT.90/120 SURG ,LOT 02 POISSONS SURGELÉS,CRUSTACES/MOLLUSQUES,,
LAMELLES D'ENCORNET CRUS,LOT 02 POISSONS SURGELÉS,CRUSTACES/MOLLUSQUES,,
MELANGE FRUITS DE MER - SURG. ,LOT 02 POISSONS SURGELÉS,CRUSTACES/MOLLUSQUES,,
MOULES DECOQUILLEES CUITES 200/500,LOT 02 POISSONS SURGELÉS,CRUSTACES/MOLLUSQUES,,
MOULES PLEINE EAU CUITE BIO,LOT 02 POISSONS SURGELÉS,CRUSTACES/MOLLUSQUES,,
NOIX ST JACQUES A/CORAIL 30/40,LOT 02 POISSONS SURGELÉS,CRUSTACES/MOLLUSQUES,,
QUEUE CREVETTE 300/500 AU KG SURG ,LOT 02 POISSONS SURGELÉS,CRUSTACES/MOLLUSQUES,,
AIGUILLETTE DE CROUSTILLANT DE COLIN 30GR-40GR,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
COEUR DE MERLU BLANC 125 GR SURG,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
DOS DE CABILLAUD 150G SURG,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
FILET CABILLAUD 130 GR SURG ,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
FILET DE LIEU NOIR FUME FACON HADDOCK,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
FILET DE TILAPIA IQF 140/160 GR,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
FILET EGLEFIN DECOUPE 130 GR,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
HADDOCK FUME ENTIER S/S PEAU,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
PAUPIETTE DE POISSON BLANC 125 GR,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
PAVE COLIN ALASKA 125 GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS BLANCS,,
BROCH.POISSON NATURE 140 GR SURG,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
CUBE DE POISSON BLANC 25 GR MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
DORE DE COLIN LIEU 120 GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
DOS DE COLIN 120/140 GR SURG - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FILET COLIN AUX CORN-FLAKES 120 GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FILET COLIN D'ALSKA 130 GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FILET DE COLIN PANE 120 GR SURG ,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FILET DE COLIN TEX MEX 120 GR SURG,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FILET DE HOKI  130 GR SURG - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FILET DE MORUE AVEC PEAU QSA - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FILET DE POISSON MEUNIERE 105 GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FILET DE POISSON MEUNIERE 125 GR SURG - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FILETE COLIN NATURE 120 GR MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
FISH & CHIPS COLIN D'ALASKA 100/120 GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
POISSON BLANC A LA BORDELAISE 160GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
POISSON BLANC A LA PROVENCALE 160GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
POISSON BLANC AUX AMANDES 160GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
POISSON BLANC SCE TARTARE 125GR - MSC,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
POISSON BLANC TOMATE/MOZZA 130GR,LOT 02 POISSONS SURGELÉS,POISSONS MSC,,
BEIGNET DE CALAMAR ROMAINE PREFIT,LOT 02 POISSONS SURGELÉS,POISSONS PANES/BEIGNETS,,
BEIGNETS DE POISSON 120 GR,LOT 02 POISSONS SURGELÉS,POISSONS PANES/BEIGNETS,,
FILETE CHEDDAR FONDU,LOT 02 POISSONS SURGELÉS,POISSONS PANES/BEIGNETS,,
FRITTO MISTO,LOT 02 POISSONS SURGELÉS,POISSONS PANES/BEIGNETS,,
CHUTES DE SAUMON FUME ATLANTIQUE SURG ,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
CUBE DE SAUMON 25GR,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
DARNE SAUMON KETA 180G+/- 20G SURG,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
FILET DE TRUITE A/PEAU 150/200 GR,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
FILET SAUMON ATLAN A/PEAU 1/1.8 KG,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
PAUPIETTE DE SAUMON CRUES 125 GR,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
PAVE DE SAUMON ATLAN.AVEC PEAU QSA 150 GR,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
PAVE DE SAUMON ATLAN.S/S PEAU QSA 100/120GR,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
STEAK DE THON 120-160 GR IQF SURG,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
TRUITE ENTIERE VIDEE S/ARETE SURG 150/200,LOT 02 POISSONS SURGELÉS,SAUMON/TRUITE/THON,,
BRISURE DE FRAMBOISE ,LOT 03 LEGUMES SURGELE,FRUITS ET COULIS,,
COULIS DE FRUITS EXOTIQUES,LOT 03 LEGUMES SURGELE,FRUITS ET COULIS,,
COULIS FRAMBOISES SURG. ,LOT 03 LEGUMES SURGELE,FRUITS ET COULIS,,
COULIS FRUITS ROUGES SURG ,LOT 03 LEGUMES SURGELE,FRUITS ET COULIS,,
FRAMBOISES SURG. 1 KG ,LOT 03 LEGUMES SURGELE,FRUITS ET COULIS,,
MYRTILLES SURG. 1 KG,LOT 03 LEGUMES SURGELE,FRUITS ET COULIS,,
AIL SURG SACHET  ,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
BASILIC SURG SACHET 500 GRS,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
CIBOULETTE HACHEE SACHET   ,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
ECHALOTE HACHEE SACHET  SURG. ,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
ESTRAGON SURGELE,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
MENTHE DOUCE SURG ,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
OIGNONS BLANCS GRELOTS- SURG. ,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
OIGNONS CUBE SURG ,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
OIGNONS EMINCES SURG. ,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
OSEILLE GALET 30 GR,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
PERSIL HACHE SACHET 500 GR,LOT 03 LEGUMES SURGELE,HERBES ET CONDIMENTS,,
ASPERGE VERTE SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
AUBERGINES LAMELLES GRILLÉES SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
BRISURE DE CHX-FLEURS SURG,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
CAROTTE CUBE  SURG  ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
CAROTTES BATONNETS SURG,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
CAROTTES RONDELLES SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
CHAMPIGNONS DE PARIS EMINCES - SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
CHAMPIGNONS MINIATURES SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
CHOU BROCOLIS SURGELES.,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
CHOU FLEUR FLEURETTE SURG,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
CHOU ROMANESCO  SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
CHX BRUXELLE SURG.,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
COURGETTES RONDELLES - SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
DUO CAROTTES RONDES MINUTE - SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
EPINARDS BRANCHE SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
FEVE PELEE SURGELEE,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
FLAGEOLET VERTS FINS SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
HARICOTS BEURRE SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
HARICOTS PLATS SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
HARICOTS VERTS EXTRA .FINS - SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
HARICOTS VERTS TRES FINS SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
JULIENNE DE LEGUMES SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
LEGUMES COUSCOUS SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
LEGUMES POUR PRINTANIERE SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
LEGUMES POUR RATATOUILLE SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
MACEDOINE DE LEGUMES  SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
MARRONS PELES BLANCHIS SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
MELANGE FORESTIER,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
PETITS POIS & JEUNES CAROTTES SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
PETITS POIS TRES FINS - SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POELEE  CHINOISE  SURG,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POELEE BROCOL/CHAMPIGN MINUTE SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POELEE CAMPAGNARDE SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POELEE LEGUME CHAMPIGNON SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POELEE MERIDIONALE,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POIREAUX  RONDELLES SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POIS GOURMAND SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POIVRONS LANIERES R/V- SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POIVRONS R.ET.V. COUPES CUBE SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POM' CAMPAGNARDE,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POM' INCURVEES BI-INCURVÉES ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POMME FORESTINE,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POMMES ALLUMETTES 6/6 SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POMMES CUBES RISSOLEES SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POMMES DAUPHINES SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POMMES DUCHESSES SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POMMES NOISETTES SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POMMES ROSTI SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
POMMES SAUTEES  RONDELLES PRE-FRIT SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
PUREE DE CAROTTES - SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
SPICY POTATOES SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
TOMATES CUBE SURG ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
TRIO DE LEGUME AUX BROCOLIS MINUTE - SURG. ,LOT 03 LEGUMES SURGELE,LEGUMES SURGELE,,
ASSORTIMENT MINI MORICETTES,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
CANAPÉS COCKTAIL PRESTIGE,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
CROQUILLE D' ESCARGOT 9GR,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
FOND DE TARTELETTE P.BRISEE 12CM,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
FOND TARTELETTE BRISE SURGELE 10CM,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
MINI BLINIS 4.5 GR,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
MINI BLINIS COLORE 5 GR,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
MINI BURGER A GARNIR,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
MINI ECLAIR VEGETARIEN SURG,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
MINI FEUILLETÉ COCKTAIL SALÉ SURG ,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
MINI FOND DE TARTELETTE CUIT SALE CARRE,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
MINI NAVETTE NATURE 15 GR SURG,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
PAIN SURPRISE A GARNIR,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
PANACHE FEUILLETÉS POISSON EXOTIQUE,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
PLAQUE FEUILLETEE BEURRE SURG HQ,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
PLAQUE PAIN DE MIE 4 COULEURS,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
PLATEAU CANAPE PRESTIGE,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
PLATEAU DE MINI BAGELS,LOT 04 PLAT/COCKTAIL SURG,COCKTAILS SALES,,
